"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Cryptocentrus fasciatus";34;759
"Cryptocentrus strigilliceps";54;1274
"Ctenochaetus binotatus";304;6266
"Ctenochaetus cyanocheilus";63;651
"Ctenochaetus flavicauda";27;346
"Ctenochaetus hawaiiensis";95;2336
"Ctenochaetus marginatus";77;2406
"Ctenochaetus striatus";1560;53625
"Ctenochaetus tominiensis";47;892
"Ctenochaetus truncatus";31;222
"Ctenogobiops aurocingulus";36;896
"Ctenogobiops crocineus";24;622
"Ctenogobiops feroculus";73;2992
"Ctenogobiops maculosus";32;639
"Ctenogobiops mitodes";10;93
"Ctenogobiops pomastictus";47;1416
"Ctenogobiops tangaroai";26;754
"Ctenolabrus rupestris";1553;45158
"Cybiosarda elegans";79;2840
"Cyclichthys orbicularis";110;1751
"Cymatoceps nasutus";199;7111
"Cymatogaster aggregata";2176;83182
"Cymbacephalus beauforti";61;1416
"Cypho purpurascens";32;714
"Cypho zaps";8;150
"Cyprinocirrhites polyactis";63;2381
"Dactylophora nigricans";132;3043
"Dactylopus dactylopus";82;2100
"Daector reticulata";21;479
"Daector schmitti";9;105
"Dascyllus albisella";931;43897
"Dascyllus aruanus";2000;81299
"Dascyllus carneus";151;4650
"Dascyllus flavicaudus";126;4393
"Dascyllus marginatus";300;8405
"Dascyllus melanurus";170;4148
"Dascyllus reticulatus";531;16183
"Dascyllus strasburgi";20;380
"Dascyllus trimaculatus";1376;40266
"Decapterus koheru";85;2118
"Decapterus macarellus";1295;23431
"Decapterus muroadsi";326;10130
"Decapterus punctatus";868;17149
"Dellichthys morelandi";57;1626
"Dendrochirus barberi";52;799
"Dendrochirus zebra";355;9890
"Dentex dentex";5477;144448
"Dermatolepis dermatolepis";172;4348
"Diademichthys lineatus";140;5353
"Diagramma labiosum";115;2975
"Diagramma melanacrum";31;249
"Dialommus fuscus";85;2138
"Dicentrarchus labrax";23350;972206
"Dicentrarchus punctatus";869;20780
"Dichistius capensis";445;17983
"Dicotylichthys punctulatus";73;1737
"Didogobius amicuscaridis";26;337
"Dinolestes lewini";173;4692
"Diodon holocanthus";1592;32827
"Diodon hystrix";1760;45829
"Diodon liturosus";241;4367
"Diodon nicthemerus";132;3607
"Diplodus annularis";3406;91400
"Diplodus argenteus";486;9500
"Diplodus capensis";525;18139
"Diplodus cervinus";900;25841
"Diplodus puntazzo";4242;100807
"Diplodus sargus";7271;202689
"Diplodus vulgaris";3504;83510
"Diplogrammus goramensis";55;1337
"Diplogrammus xenicus";40;920
"Diploprion bifasciatum";262;6253
"Diproctacanthus xanthurus";110;3855
"Dipterygonotus balteatus";123;1912
"Dischistodus chrysopoecilus";60;2032
"Dischistodus darwiniensis";11;112
"Dischistodus melanotus";109;3403
"Dischistodus perspicillatus";199;8132
"Dischistodus prosopotaenia";157;4613
"Dischistodus pseudochrysopoecilus";41;2015
"Doratonotus megalepis";144;3992
"Dotalabrus alleni";14;447
"Dotalabrus aurantiacus";53;1723
"Dules auriga";182;3160
"Echeneis naucrates";1539;47472
"Echeneis neucratoides";109;1376
"Echidna nebulosa";492;12129
"Echidna nocturna";96;1563
"Ecsenius aequalis";5;82
"Ecsenius alleni";7;61
"Ecsenius bandanus";9;508
"Ecsenius bathi";13;542
"Ecsenius bicolor";219;6501
"Ecsenius fijiensis";7;53
"Ecsenius fourmanoiri";13;269
"Ecsenius frontalis";38;887
"Ecsenius gravieri";43;1187
"Ecsenius kurti";5;52
"Ecsenius lineatus";48;1461
"Ecsenius lividanalis";13;314
"Ecsenius midas";94;1755
