"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Amphiprion ocellaris";76;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion percula";91;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion perideraion";73;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion rubrocinctus";99;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amphiprion sandaracinos";95;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Anampses caeruleopunctatus";89;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses cuvier";103;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Anampses elegans";107;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Anampses femininus";203;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses geographicus";95;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses lennardi";103;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses lineatus";107;NA;"DD";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses melanurus";100;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses meleagrides";91;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses neoguinaicus";104;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anampses twistii";100;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Anarrhichthys ocellatus";96;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Anisotremus caesius";107;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Anisotremus davidsonii";94;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Anisotremus interruptus";93;"commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Anisotremus scapularis";88;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Anisotremus surinamensis";83;"commercial";"DD";"never/rarely";"never/rarely";"medium";"public aquariums";"based mainly on capture"
"Anisotremus taeniatus";101;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Anisotremus virginicus";81;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"public aquariums";"based mainly on capture"
"Anoplocapros amygdaloides";225;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Anoplocapros inermis";224;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Anoplocapros lenticularis";224;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Anyperodon leucogrammicus";92;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Aphareus furca";90;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Aphareus rutilans";81;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Aploactisoma milesii";215;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aplodactylus arctidens";119;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aplodactylus etheridgii";122;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Aplodactylus lophodon";125;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aplodactylus westralis";229;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Apogon atradorsatus";212;NA;"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Apogon atricaudus";112;"of no interest";"LC";"never/rarely";"never/rarely";NA;"potential";NA
"Apogon binotatus";108;NA;"LC";"never/rarely";"never/rarely";"high";NA;NA
"Apogon dovii";107;NA;"LC";NA;NA;"high";NA;NA
"Apogon imberbis";87;NA;"LC";" ";"never/rarely";"high";NA;" "
"Apogon lachneri";211;NA;"LC";"never/rarely";"never/rarely";"high";NA;NA
"Apogon maculatus";93;NA;"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Apogon pacificus";109;NA;"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Apogon retrosella";113;"of no interest";"LC";"never/rarely";"never/rarely";NA;"potential";NA
"Apogon townsendi";113;NA;"LC";"never/rarely";"never/rarely";"high";NA;NA
"Apogonichthyoides timorensis";113;NA;"LC";"never/rarely";"never/rarely";"high";"commercial";NA
"Apolemichthys trimaculatus";103;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Aprion virescens";74;"highly commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
