"fb_sci_name","gbif_valid_key","gbif_valid_name","gbif_synonym"
"Grammatorcynus bicarinatus",5208590,"Grammatorcynus bicarinatus",FALSE
"Grammatorcynus bilineatus",5208588,"Grammatorcynus bilineatus",FALSE
"Grammistes sexlineatus",2387978,"Grammistes sexlineatus",FALSE
"Gunnellichthys monostigma",2392082,"Gunnellichthys monostigma",FALSE
"Gymnocaesio gymnoptera",2374814,"Gymnocaesio gymnoptera",FALSE
"Gymnocanthus tricuspis",2334007,"Gymnocanthus tricuspis",FALSE
"Gymnoclinus cristulatus",2394918,"Gymnoclinus cristulatus",FALSE
"Gymnocranius audleyi",2374997,"Gymnocranius audleyi",FALSE
"Gymnocranius euanus",2374973,"Gymnocranius euanus",FALSE
"Gymnocranius microdon",2375000,"Gymnocranius microdon",FALSE
"Gymnocrotaphus curvidens",5211023,"Gymnocrotaphus curvidens",FALSE
"Gymnomuraena zebra",2404380,"Gymnomuraena zebra",FALSE
"Gymnosarda unicolor",2374086,"Gymnosarda unicolor",FALSE
"Gymnothorax annasona",2403983,"Gymnothorax annasona",FALSE
"Gymnothorax breedeni",2403813,"Gymnothorax breedeni",FALSE
"Gymnothorax castaneus",2404111,"Gymnothorax castaneus",FALSE
"Gymnothorax cribroris",2403953,"Gymnothorax cribroris",FALSE
"Gymnothorax dovii",2404080,"Gymnothorax dovii",FALSE
"Gymnothorax eurostus",2404046,"Gymnothorax eurostus",FALSE
"Gymnothorax favagineus",2404048,"Gymnothorax favagineus",FALSE
"Gymnothorax fimbriatus",2403892,"Gymnothorax fimbriatus",FALSE
"Gymnothorax flavimarginatus",2404084,"Gymnothorax flavimarginatus",FALSE
"Gymnothorax funebris",2403964,"Gymnothorax funebris",FALSE
"Gymnothorax javanicus",2403808,"Gymnothorax javanicus",FALSE
"Gymnothorax meleagris",2403958,"Gymnothorax meleagris",FALSE
"Gymnothorax miliaris",2403816,"Gymnothorax miliaris",FALSE
"Gymnothorax moringa",2404065,"Gymnothorax moringa",FALSE
"Gymnothorax nubilus",2403970,"Gymnothorax nubilus",FALSE
"Gymnothorax obesus",2403897,"Gymnothorax obesus",FALSE
"Gymnothorax panamensis",2403870,"Gymnothorax panamensis",FALSE
"Gymnothorax pictus",2403789,"Gymnothorax pictus",FALSE
"Gymnothorax porphyreus",2403876,"Gymnothorax porphyreus",FALSE
"Gymnothorax prasinus",2404101,"Gymnothorax prasinus",FALSE
"Gymnothorax prionodon",2403782,"Gymnothorax prionodon",FALSE
"Gymnothorax thyrsoideus",2403908,"Gymnothorax thyrsoideus",FALSE
"Gymnothorax undulatus",2403755,"Gymnothorax undulatus",FALSE
