"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_05"
"Dascyllus melanurus","Dascyllus melanurus",5212037,FALSE,97,61
"Dascyllus reticulatus","Dascyllus reticulatus",5212044,FALSE,3086,308
"Dascyllus strasburgi","Dascyllus strasburgi",5212041,FALSE,14,4
"Dascyllus trimaculatus","Dascyllus trimaculatus",5212031,FALSE,2602,425
"Decapterus koheru","Decapterus koheru",2391034,FALSE,129,22
"Decapterus macarellus","Decapterus macarellus",2391064,FALSE,1356,398
"Decapterus muroadsi","Decapterus muroadsi",2391060,FALSE,41,24
"Decapterus punctatus","Decapterus punctatus",2391041,FALSE,1679,143
"Deinypena multilineata","Azurina multilineata",1761482,TRUE,1,1
"Dellichthys morelandi","Dellichthys morelandi",2411370,FALSE,62,13
"Dendrochirus barberi","Dendrochirus barberi",2334541,FALSE,158,18
"Dendrochirus zebra","Dendrochirus zebra",2334538,FALSE,662,166
"Dentex dentex","Dentex dentex",2392679,FALSE,1491,93
"Dermatolepis dermatolepis","Dermatolepis dermatolepis",2389130,FALSE,223,37
"Diademichthys lineatus","Diademichthys lineatus",2411384,FALSE,211,72
"Diagramma labiosum","Diagramma labiosum",5209597,FALSE,211,63
"Diagramma melanacrum","Diagramma melanacrum",5209592,FALSE,31,21
"Dialommus fuscus","Dialommus fuscus",2389574,FALSE,2,2
"Dicentrarchus labrax","Dicentrarchus labrax",2394622,FALSE,7498,324
"Dicentrarchus punctatus","Dicentrarchus punctatus",2394640,FALSE,96,37
"Dichistius capensis","Dichistius capensis",2392263,FALSE,103,29
"Dicotylichthys punctulatus","Dicotylichthys punctulatus",2406508,FALSE,1303,74
"Didogobius amicuscaridis","Didogobius amicuscaridis",2378244,FALSE,1,1
"Dinolestes lewini","Dinolestes lewini",2394201,FALSE,2736,140
"Diodon holocanthus","Diodon holocanthus",5213361,FALSE,2114,386
"Diodon hystrix","Diodon hystrix",5213374,FALSE,2841,648
"Diodon liturosus","Diodon liturosus",5213358,FALSE,543,216
"Diodon nicthemerus","Diodon nicthemerus",5213388,FALSE,3336,216
"Diplodus annularis","Diplodus annularis",5210983,FALSE,2192,177
"Diplodus argenteus","Diplodus argenteus",5712109,FALSE,98,38
"Diplodus capensis","Diplodus capensis",5210964,FALSE,327,46
"Diplodus cervinus","Diplodus cervinus",5712108,FALSE,1362,111
"Diplodus puntazzo","Diplodus puntazzo",9777888,FALSE,1965,181
"Diplodus sargus","Diplodus sargus",5210968,FALSE,5580,266
"Diplodus vulgaris","Diplodus vulgaris",5210979,FALSE,6393,287
"Diplogrammus goramensis","Diplogrammus goramensis",5209946,FALSE,38,25
"Diplogrammus xenicus","Diplogrammus xenicus",5209948,FALSE,5,4
"Diploprion bifasciatum","Diploprion bifasciatum",9567728,FALSE,859,155
"Diproctacanthus xanthurus","Diproctacanthus xanthurus",2383395,FALSE,131,57
"Dipterygonotus balteatus","Dipterygonotus balteatus",2374804,FALSE,225,33
"Dischistodus chrysopoecilus","Dischistodus chrysopoecilus",2398215,FALSE,47,28
"Dischistodus darwiniensis","Dischistodus darwiniensis",2398204,FALSE,19,9
"Dischistodus melanotus","Dischistodus melanotus",2398206,FALSE,804,93
"Dischistodus perspicillatus","Dischistodus perspicillatus",2398191,FALSE,410,97
"Dischistodus prosopotaenia","Dischistodus prosopotaenia",2398200,FALSE,560,85
"Dischistodus pseudochrysopoecilus","Dischistodus pseudochrysopoecilus",2398189,FALSE,307,39
"Doratonotus megalepis","Doratonotus megalepis",5209736,FALSE,29,15
"Dotalabrus alleni","Dotalabrus alleni",2383373,FALSE,141,16
"Dotalabrus aurantiacus","Dotalabrus aurantiacus",2383374,FALSE,823,62
"Dules auriga","Dules auriga",2388707,FALSE,5,4
"Echeneis naucrates","Echeneis naucrates",2375300,FALSE,2877,668
"Echeneis neucratoides","Echeneis neucratoides",2375299,FALSE,58,31
"Echidna nebulosa","Echidna nebulosa",5213106,FALSE,906,251
"Echidna nocturna","Echidna nocturna",5213099,FALSE,56,40
"Ecsenius aequalis","Ecsenius aequalis",2396048,FALSE,41,15
"Ecsenius alleni","Ecsenius alleni",2396079,FALSE,74,7
"Ecsenius bandanus","Ecsenius bandanus",2396042,FALSE,46,18
"Ecsenius bathi","Ecsenius bathi",2396038,FALSE,64,16
"Ecsenius bicolor","Ecsenius bicolor",2396049,FALSE,919,185
"Ecsenius fijiensis","Ecsenius fijiensis",2396056,FALSE,49,16
"Ecsenius fourmanoiri","Ecsenius fourmanoiri",2396032,FALSE,67,20
"Ecsenius frontalis","Ecsenius frontalis",2396033,FALSE,13,5
"Ecsenius gravieri","Ecsenius gravieri",2396085,FALSE,40,11
"Ecsenius kurti","Ecsenius kurti",2396069,FALSE,3,1
"Ecsenius lineatus","Ecsenius lineatus",2396063,FALSE,91,30
"Ecsenius lividanalis","Ecsenius lividanalis",2396026,FALSE,51,13
"Ecsenius midas","Ecsenius midas",2396077,FALSE,75,37
"Ecsenius minutus","Ecsenius minutus",2396020,FALSE,26,10
"Ecsenius nalolo","Ecsenius nalolo",2396021,FALSE,24,14
"Ecsenius namiyei","Ecsenius namiyei",2396040,FALSE,145,54
"Ecsenius oculatus","Ecsenius oculatus",2396018,FALSE,13,4
"Ecsenius prooculis","Ecsenius prooculis",2396046,FALSE,23,13
"Ecsenius randalli","Ecsenius randalli",2396074,FALSE,2,1
"Ecsenius schroederi","Ecsenius schroederi",2396081,FALSE,66,20
"Ecsenius stictus","Ecsenius stictus",2396043,FALSE,259,48
"Ecsenius stigmatura","Ecsenius stigmatura",2396064,FALSE,47,14
"Ecsenius tigris","Ecsenius tigris",2396059,FALSE,31,11
"Ecsenius tricolor","Ecsenius tricolor",2396082,FALSE,4,2
"Ecsenius trilineatus","Ecsenius trilineatus",2396029,FALSE,32,22
"Ecsenius yaeyamaensis","Ecsenius yaeyamaensis",2396022,FALSE,440,84
"Ekemblemaria myersi","Ekemblemaria myersi",2381366,FALSE,4,4
"Elacatinus atronasus","Elacatinus atronasus",2376700,FALSE,1,1
"Elacatinus cayman","Elacatinus cayman",8060214,FALSE,33,3
"Elacatinus centralis","Elacatinus centralis",7949320,FALSE,8,4
"Elacatinus evelynae","Elacatinus evelynae",2376749,FALSE,696,51
